files_name classifier avg_bpm_normalized avg_rhythmic_density_normalized avg_velocity_normalized bpm_stddev_normalized velocity_stddev_normalized percent_irregular_time_signature
beethoven_liszt_symphony_4_2_(c)yogore.mid 1 -1.6780142914780494 -0.8342611776728236 1.978809487332821 6.42 0.6 0.0
beethoven_liszt_symphony_4_3_(c)yogore.mid 1 0.6075378563904278 -0.5586718466753956 0.1859539448822741 9.11 0.44 1.0
beethoven_liszt_symphony_4_4_(c)yogore.mid 1 0.9773661022752104 -0.4074967792458016 1.448696054515217 10.37 0.59 0.0044
berlioz_pieces_for_harmonium_1_(c)blondel.mid 2 -0.1248715417671875 -0.4478727289319664 -0.933836227811091 9.99 0.57 0.0
berlioz_pieces_for_harmonium_2_(c)blondel.mid 2 0.1190384526099775 0.5666903788796883 -0.7402554798720784 16.6 0.53 0.0
berlioz_pieces_for_harmonium_3_(c)blondel.mid 2 0.8032093839130564 0.8014342724039027 -0.4156354564051189 4.86 0.41 0.0
berlioz_symphonie_fantastique_1_(c)galimberti.mid 2 2.047444768414584 -0.5333195061747809 -0.5020022516394476 41.37 0.9 0.0
berlioz_symphonie_fantastique_2_(c)galimberti.mid 2 -0.4324200769242814 -0.4408304121262397 1.4397615584564936 27.94 0.75 1.0
berlioz_symphonie_fantastique_3_(c)galimberti.mid 2 -1.7407469455564846 -1.2582086493775546 0.7815870154638512 23.71 0.91 0.0
berlioz_symphonie_fantastique_5_(c)galimberti.mid 2 1.3077882766450193 -0.0178219159956057 0.1859539448822741 26.9 0.99 0.0
bernstein_clarinet_sonata_1_(c)gray.mid 3 1.767978721003793 -0.5835546993889624 -0.5794345508150526 16.12 0.57 0.0189
bernstein_clarinet_sonata_2_(c)gray.mid 3 0.6788764341330529 -0.7441195225595252 -0.3441594879353298 36.41 0.53 0.8440000000000001
bizet_arlesienne_1_minuetto_(c)pajares.mid 2 0.8677538113944788 -1.530981053652692 -0.5466747319330659 7.7 0.67 0.0
bizet_arlesienne_2_minuetto_(c)pajares.mid 2 -1.0751466916340255 -1.742250557824485 0.6713948974062591 15.94 1.11 0.0
bizet_jeux_01_(c)yogore.mid 2 -0.9936168884995972 -0.8352001532469203 2.080067109331689 0.0 0.49 0.0
bizet_jeux_02_(c)yogore.mid 2 0.7239442975323621 -1.4337970817336672 1.189595668812231 5.94 0.69 0.0
bizet_jeux_03_(c)yogore.mid 2 -1.1147792348243728 -1.2234665531359712 -0.5645437240505131 9.95 0.4 0.0
bizet_jeux_04_(c)yogore.mid 2 2.474343876493466 -0.3976375357177849 -0.5526310626388816 7.46 0.55 0.0
bizet_jeux_05_(c)yogore.mid 2 -1.265382898947692 -1.0938879239106043 0.6594822359946279 0.0 0.46 0.0345
bizet_jeux_06_(c)yogore.mid 2 0.3369042043192003 -0.0351929641163971 -0.263749023406817 6.39 0.52 0.0
bizet_jeux_07_(c)yogore.mid 2 -0.1538599162149843 -1.0976438262069923 -0.3828756375231323 7.39 0.51 0.0
bizet_jeux_08_(c)yogore.mid 2 1.1805111950851614 -0.5286246283042961 -0.1178189211143306 0.0 0.53 0.0
bizet_jeux_09_(c)yogore.mid 2 -1.1045880094325695 -1.074169436854571 -0.4067009603463954 17.88 0.43 0.0
bizet_jeux_10_(c)yogore.mid 2 0.002858483143417 -0.6520999162980328 0.1085216457066686 0.0 0.52 0.0
bizet_jeux_11_(c)yogore.mid 2 -0.8307837539061139 -0.7741667409306247 -0.3471376532882376 13.0 0.42 0.0
bizet_jeux_12_(c)yogore.mid 2 1.5428658756826212 -0.2192321766393813 0.0370456772368798 0.0 0.49 0.0
bizet_symphony_c_1_(c)lucarelli.mid 2 4.3771588929808765 1.0939251637350742 -1.2078274402786164 4.22 0.46 0.0
bizet_symphony_c_2_(c)lucarelli.mid 2 -1.3215478744402984 0.424905067191063 0.5701372754073911 17.05 0.57 0.0
bizet_symphony_c_3_(c)lucarelli.mid 2 4.87652893717925 1.0671643598733134 -1.1780457867495375 6.5 0.44 0.0
bizet_symphony_c_4_(c)lucarelli.mid 2 0.2816451155280877 1.125850333254367 1.3385039364576257 4.57 0.66 0.0
boellman_suite_gothique_(c)maguire.mid 2 -0.8124395482008674 0.0084694000791063 -0.3709629761115007 0.0 0.54 0.0
boieldieu_la_dame_blanche_(c)lucarelli.mid 1 2.1364481368363357 0.09109925059963 -0.0076268030567385 28.86 0.84 0.0
boyce_voluntary_1_(c)kleyn.mid 0 -0.8124395482008674 -0.9023369067948456 -0.0135831337625541 0.0 0.51 0.0
brahms-karageanes_variations_handel_24_(c)karageanes.mid 2 -0.5010409945624255 -0.5103146046094075 1.305744117575639 25.04 0.99 0.032
breton_escenas_andaluzas_1_(c)pajares.mid 2 -0.6876536550701171 -0.5990477963615605 1.561866337925717 9.45 0.99 0.0
breton_escenas_andaluzas_2_(c)pajares.mid 2 0.5341610335694427 -1.020178341344001 0.6773512281120748 14.69 0.67 0.0
breton_verbena_de_paloma_(c)pajares.mid 2 -0.1771864987784458 -0.8699422494885037 1.0287747397552056 34.0 0.79 0.0
britten_70_nocturnal_1_(c)bachovich.mid 3 -1.5543607567241664 -0.0342539885423005 -0.8266222751064071 30.85 0.48 0.129
britten_70_nocturnal_2_(c)bachovich.mid 3 2.194651357407302 1.4112989077798117 -0.8712947554000254 18.75 0.41 0.7406999999999999
britten_70_nocturnal_3_(c)bachovich.mid 3 0.5626964646664924 0.5619955010092044 -1.0231811883983275 16.43 0.28 0.0
britten_70_nocturnal_5_(c)bachovich.mid 3 -1.0275876398056092 0.908008000063896 -0.3084215037004352 6.02 0.37 0.5385
britten_70_nocturnal_6_(c)bachovich.mid 3 -1.7520705293251553 -0.2384811759083674 -0.647932353931934 10.06 0.44 0.7273000000000001
britten_70_nocturnal_7_(c)bachovich.mid 3 -1.172529512044593 1.0155207032979865 1.904355353510124 11.03 0.36 0.0
britten_70_nocturnal_8_(c)bachovich.mid 3 -0.8815134091897582 0.6037799140565145 0.1919102755880897 17.62 0.47 0.31170000000000003
britten_70_nocturnal_9_(c)bachovich.mid 3 -1.8938417981089115 -0.003737282384153 -0.439460779228382 9.34 0.45 0.2
britten_young_person_guide_orchestra_(c)pajares.mid 3 0.2420125723377406 -0.7967021547089495 0.5075958029963258 30.95 1.18 0.1349
bruch_kol_nidrei_(47)_(c)bakels.mid 2 -1.6062227703846776 -0.5413007985546036 0.4837704801730627 6.29 0.7 0.0
bruckner_symphony_4_1_(c)bakels.mid 2 0.1387414883674645 0.2502556104090475 -0.9219235663994596 0.0 0.79 0.0
bruckner_symphony_4_2_(c)bakels.mid 2 -1.120214555033335 -0.0356624519034458 -0.5764563854621447 11.29 0.75 0.0
bruckner_symphony_4_3_(c)bakels.mid 2 0.1364767716137305 0.1216159567577775 -0.3650066454056849 9.93 0.59 0.0
bruckner_symphony_4_4_(c)bakels.mid 2 -0.3642521026368842 0.2516640737701928 -0.3590503146998692 15.42 0.76 0.0
bruckner_symphony_7_1_(c)pajares.mid 2 -0.6267327743946692 -0.5220517992856182 0.0995871496479451 11.62 0.91 0.0
bruckner_symphony_8_1_(c)bakels.mid 2 0.093447153292782 -0.6286255269456114 -1.27334707804259 0.0 0.75 0.0
bruckner_symphony_8_2_(c)bakels.mid 2 -0.1203421082597192 -0.5323805306006836 -0.5288057398156185 34.11 0.73 0.0
bruckner_symphony_8_3_(c)bakels.mid 2 -1.5885579797055516 -0.6042121620190932 -0.5079585823452635 16.07 0.67 0.0
bruckner_symphony_8_4_(c)bakels.mid 2 0.1949064638600708 -0.6929453537712463 -1.0202030230454198 22.84 0.75 0.0
bruckner_te_deum_(c)unknown.mid 2 0.4768636996999693 -0.9563280023054148 0.1889321102351819 5.6 0.75 0.0058
bruckner_te_deum_2_(c)siu.mid 2 -0.2281426257374636 -1.8502327488456236 -0.1892948895841199 26.55 1.16 0.01
busoni-bach_toccata_e_fuga_bwv565_[unknown].mid 2 0.093447153292782 0.22255583097319 -0.0016704723509229 0.0 0.65 0.0
busoni-bach_toccata_e_fuga_in_d_minor_(matthews).mid 2 -0.6729329961708455 -0.1891849582682819 1.4963467001617432 27.11 0.59 0.0138
cabanilles_gaillardas_1_(c)mccoy.mid 0 -0.3647050459876312 0.8014342724039027 1.1062070389308107 17.97 0.35 0.0
cabanilles_gaillardas_3_(c)mccoy.mid 0 -0.7263803115589708 0.8014342724039027 0.8768883067569031 18.5 0.42 0.0
cabanilles_gaitilla_de_5_(c)mccoy.mid 0 0.3459630713341369 0.8014342724039027 0.3259277164689443 18.2 0.5 0.0
cabanilles_pange_lingua_(c)mccoy.mid 0 -1.265382898947692 0.8014342724039027 -1.0023340309279725 0.0 0.31 0.0
cabanilles_tiento_16_(c)mccoy.mid 0 -0.4500848676034076 0.8014342724039027 -1.0529628419274066 0.0 0.38 0.0
cabanilles_tiento_21_(c)mccoy.mid 0 -0.2867987896591775 0.8014342724039027 0.7964778422283904 20.52 0.45 0.0
cabanilles_tiento_3_(c)mccoy.mid 0 0.2460890624944618 0.8014342724039027 -0.6121943696970393 38.29 0.32 0.2965
cabanilles_tiento_4_(c)mccoy.mid 0 1.5978984927983606 0.8014342724039027 -0.9814868734576172 27.4 0.37 0.5948
cabanilles_tiento_6_(c)mccoy.mid 0 -0.7730334766858938 0.8014342724039027 -1.1006134875739324 17.06 0.62 0.0
cabanilles_tiento_de_batalla_(c)mccoy.mid 0 0.9501895012304012 0.8014342724039027 -0.311399669053343 38.86 0.4 0.2974
cabanilles_tiento_de_falsas_(c)mccoy.mid 0 1.2267114168613371 0.8014342724039027 -1.7230500463316805 8.31 0.4 0.0
cabanilles_tiento_de_tono_pleno_(c)mccoy.mid 0 1.375956250932416 0.8014342724039027 -1.1869802828082612 35.06 0.34 0.3404
cantallos_sonata_c_(c)marchesano.mid 1 0.9549454064132424 0.8014342724039027 -0.3769193068173164 0.0 0.36 0.0
capocci_5_pezzi_originali_(a_amici).mid 2 -0.4677496582825338 -1.0417747795482288 -0.4424389445812898 15.5 0.82 0.0
chabrier_espana_rhapsody_(c)pajares.mid 2 0.2200448198265196 -0.7492838882170579 3.333874722905909 11.64 1.11 0.9765
chapi_bruja_(c)pajares.mid 2 -0.6034061918312077 -0.5356669451100229 3.146250305672712 26.87 0.94 1.0
chapi_revoltosa_(c)pajares.mid 2 1.505724520921382 -0.6478745262145974 -0.1088844250556066 30.72 0.91 0.0
cherubini_requiem_1_(c)biller.mid 1 -0.3594961974540427 0.8014342724039027 -1.4639496606286948 0.0 0.5 0.0070999999999999995
cherubini_requiem_2_(c)biller.mid 1 0.6369791741889717 0.8014342724039027 -1.895783636800338 0.0 0.43 1.0
cherubini_requiem_3_(c)biller.mid 1 1.081316601271607 -0.137541301692955 -0.3590503146998692 36.06 0.51 0.0
cherubini_requiem_4_(c)biller.mid 1 1.1737170448239589 0.8014342724039027 -0.9695742120459856 53.41 0.45 0.0
cherubini_requiem_5_(c)biller.mid 1 -0.3594961974540427 0.8014342724039027 -0.0493211179974491 0.0 0.48 0.0
cherubini_requiem_6_(c)biller.mid 1 -0.0877301870059478 0.8014342724039027 -2.0953207154451663 0.0 0.51 0.0
cherubini_requiem_7_(c)biller.mid 1 -1.265382898947692 0.8014342724039027 -0.4364826138754741 0.0 0.5 0.0
chueca-valverde_gran_via_polka_(c)pajares.mid 2 0.4714283794910072 -0.7544482538745906 1.0526000625784688 14.92 0.84 0.0
clerambault_basse_et_dessus_(c)mccoy.mid 0 -0.67655654297682 1.7516775533899227 1.1151415349895342 0.0 0.37 0.0
corelli_concerto_grosso_6_8_(c)unknown.mid 0 0.2911569258937708 0.8014342724039027 -0.3888319682289479 30.74 0.15 0.0929
corrette_confession_(nc)werths.mid 0 0.2112124244869565 0.8014342724039027 -0.7313209838133549 16.18 0.09 0.0
couppey_musette_g_(nc)werths.mid 2 1.5655130432199624 0.8361763686454863 -1.404386353570537 0.0 0.25 0.0
czerny_toccata_92_(c)yogore.mid 1 0.0771411926658963 -0.5455261886380396 2.0234819676264397 6.13 0.3 0.0097
dangicourt_moulin_a_vent_(c)werths.mid 0 -1.293918330044742 0.8014342724039027 1.8954208574514 16.46 0.3 1.0
daquin_coucou_(c)werths.mid 0 0.0406792529307769 0.8014342724039027 1.7286435976885588 17.22 0.27 0.0
daquin_melodieuse_(c)werths.mid 0 0.1247002444943128 0.8014342724039027 -0.0582556140561725 15.1 0.34 0.0
daquin_tambourin_in_g_(c)werths.mid 0 -0.3708197812227133 0.8014342724039027 0.0340675118839714 6.3 0.12 0.0
